date,sector,close
2025-04-01,NIFTY100 LIQUID 15,6473.5
2025-04-01,NIFTY CPSE,6086.45
2025-04-01,NIFTY50 VALUE 20,12356.55
2025-04-01,NIFTY MIDCAP LIQUID 15,12886.2
2025-04-01,NIFTY SHARIAH 25,7775.7
2025-04-01,NIFTY GROWTH SECTORS 15,10531.6
2025-04-01,NIFTY50 TR 1X INVERSE,180.7
2025-04-01,NIFTY50 TR 2X LEVERAGE,17828.5
2025-04-01,NIFTY50 PR 1X INVERSE,218.7
2025-04-01,NIFTY50 PR 2X LEVERAGE,12154.0
2025-04-01,NIFTY100 QUALITY 30,5167.5
2025-04-01,NIFTY500 MOMENTUM 50,46893.9
2025-04-01,NIFTY200 VALUE 30,12364.05
2025-04-01,NIFTY TOP 10 EQUAL WEIGHT,9178.7
2025-04-01,NIFTY500 MULTICAP MOMENTUM QUALITY 50,37663.15
2025-04-01,NIFTY TOP 15 EQUAL WEIGHT,9596.4
2025-04-01,NIFTY TOP 20 EQUAL WEIGHT,8568.05
2025-04-01,NIFTY500 QUALITY 50,17224.5
2025-04-01,NIFTY500 LOW VOLATILITY 50,19873.4
2025-04-01,NIFTY100 ESG,4519.7
2025-04-01,NIFTY100 ENHANCED ESG,4553.6
2025-04-01,NIFTY500 VALUE 50,13302.8
2025-04-01,NIFTY100 ALPHA 30,16394.35
2025-04-01,NIFTY50 EQUAL WEIGHT,29006.75
2025-04-01,NIFTY500 EQUAL WEIGHT,12619.75
2025-04-01,NIFTY 50 FUTURES INDEX,6198.11
2025-04-01,NIFTY 50 ARBITRAGE,2474.69
2025-04-01,NIFTY 50 FUTURES TR INDEX,24885.13
2025-04-01,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,29639.0
2025-04-01,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,7691.91
2025-04-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,16328.41
2025-04-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,14854.95
2025-04-01,NIFTY PRIVATE BANK,25422.75
2025-04-01,NIFTY SMALLCAP 50,7653.3
2025-04-01,NIFTY MIDCAP 150,18931.4
2025-04-01,NIFTY MIDCAP SELECT,11383.9
2025-04-01,NIFTY LARGEMIDCAP 250,14642.05
2025-04-01,NIFTY SME EMERGE,12913.6
2025-04-01,NIFTY OIL & GAS,10558.15
2025-04-01,NIFTY FINANCIAL SERVICES 25/50,26262.0
2025-04-01,NIFTY HEALTHCARE INDEX,13474.95
2025-04-01,NIFTY500 MULTICAP 50:25:25,14521.95
2025-04-01,NIFTY MICROCAP 250,20845.7
2025-04-01,NIFTY TOTAL MARKET,11842.75
2025-04-01,NIFTY INDIA DIGITAL,8153.65
2025-04-01,NIFTY MOBILITY,18262.7
2025-04-01,NIFTY INDIA DEFENCE,6336.05
2025-04-01,NIFTY FINANCIAL SERVICES EX-BANK,26044.1
2025-04-01,NIFTY HOUSING,10731.45
2025-04-01,NIFTY TRANSPORTATION & LOGISTICS,20146.65
2025-04-01,NIFTY MIDSMALL FINANCIAL SERVICES,14891.15
2025-04-01,NIFTY MIDSMALL HEALTHCARE,40056.15
2025-04-01,NIFTY MIDSMALL IT & TELECOM,9105.8
2025-04-01,NIFTY MIDSMALL INDIA CONSUMPTION,18130.8
2025-04-01,NIFTY REITS & INVITS,1109.56
2025-04-01,NIFTY CORE HOUSING,14726.45
2025-04-01,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,12879.95
2025-04-01,NIFTY RURAL,13797.45
2025-04-01,NIFTY CAPITAL MARKETS,3375.15
2025-04-01,NIFTY INDIA NEW AGE CONSUMPTION,10396.35
2025-04-01,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),33155.45
2025-04-01,NIFTY INDIA RAILWAYS PSU,3428.3
2025-04-01,NIFTY CONSUMER DURABLES,34760.0
2025-04-01,NIFTY NON-CYCLICAL CONSUMER,14860.15
