date,close
2022-09-23,20.59
2022-09-26,21.89
2022-09-27,21.57
2022-09-28,22.1
2022-09-29,21.3
2022-09-30,19.97
2022-10-03,21.37
2022-10-04,19.57
2022-10-06,19.32
2022-10-07,18.81
2022-10-10,19.62
2022-10-11,20.49
2022-10-12,20.18
2022-10-13,20.29
2022-10-14,18.26
2022-10-17,18.42
2022-10-18,17.45
2022-10-19,17.49
2022-10-20,17.23
2022-10-21,17.28
2022-10-24,17.42
2022-10-25,16.88
2022-10-27,16.6
2022-10-28,15.92
2022-10-31,15.8
2022-11-01,16.13
2022-11-02,16.66
2022-11-03,15.94
2022-11-04,15.66
2022-11-07,15.59
2022-11-09,15.92
2022-11-10,15.57
2022-11-11,14.41
2022-11-14,14.91
2022-11-15,14.64
2022-11-16,15.1
2022-11-17,14.88
2022-11-18,14.39
2022-11-21,14.8
2022-11-22,13.84
2022-11-23,14.04
2022-11-24,13.48
2022-11-25,13.33
2022-11-28,13.57
2022-11-29,13.62
2022-11-30,13.81
2022-12-01,13.36
2022-12-02,13.45
2022-12-05,13.73
2022-12-06,14.04
2022-12-07,14.08
2022-12-08,13.4
2022-12-09,13.48
2022-12-12,13.32
2022-12-13,12.88
2022-12-14,12.89
2022-12-15,13.73
2022-12-16,14.07
2022-12-19,13.55
2022-12-20,13.78
2022-12-21,15.56
2022-12-22,15.19
2022-12-23,16.16
2022-12-26,15.93
2022-12-27,15.29
2022-12-28,15.4
2022-12-29,14.81
2022-12-30,14.87
2023-01-02,14.69
2023-01-03,14.39
2023-01-04,15.2
2023-01-05,14.98
2023-01-06,15.03
2023-01-09,14.65
2023-01-10,15.51
2023-01-11,15.44
2023-01-12,15.28
2023-01-13,14.46
2023-01-16,15.02
2023-01-17,14.59
2023-01-18,14.37
2023-01-19,13.96
2023-01-20,13.79
2023-01-23,13.62
2023-01-24,13.66
2023-01-25,14.66
2023-01-27,17.32
2023-01-30,17.71
2023-01-31,16.88
2023-02-01,16.78
2023-02-02,15.73
2023-02-03,14.4
2023-02-06,14.69
2023-02-07,14.13
2023-02-08,13.6
2023-02-09,13.04
2023-02-10,12.75
2023-02-13,13.68
2023-02-14,13.45
2023-02-15,12.86
2023-02-16,12.89
2023-02-17,13.09
2023-02-20,13.38
2023-02-21,14.01
2023-02-22,15.59
2023-02-23,15.08
2023-02-24,14.19
2023-02-27,13.88
2023-02-28,14.02
2023-03-01,13.0
2023-03-02,12.97
2023-03-03,12.18
2023-03-06,12.27
2023-03-08,12.45
2023-03-09,12.73
2023-03-10,13.41
2023-03-13,16.22
2023-03-14,16.22
2023-03-15,16.3
2023-03-16,16.22
2023-03-17,14.77
2023-03-20,16.01
2023-03-21,15.08
2023-03-22,14.81
2023-03-23,14.49
2023-03-24,15.24
2023-03-27,15.45
2023-03-28,15.1
2023-03-29,13.63
2023-03-31,12.94
2023-04-03,12.59
2023-04-05,12.41
2023-04-06,11.8
2023-04-10,12.27
2023-04-11,11.98
2023-04-12,12.27
2023-04-13,11.91
2023-04-17,12.27
2023-04-18,12.08
2023-04-19,12.15
2023-04-20,11.94
2023-04-21,11.63
2023-04-24,11.67
2023-04-25,11.52
2023-04-26,11.65
2023-04-27,11.43
2023-04-28,10.95
2023-05-02,11.9
2023-05-03,11.84
2023-05-04,11.73
2023-05-05,12.3
2023-05-08,12.64
2023-05-09,12.68
2023-05-10,13.08
2023-05-11,13.22
2023-05-12,12.85
2023-05-15,13.17
2023-05-16,13.29
2023-05-17,13.11
2023-05-18,12.8
2023-05-19,12.3
2023-05-22,12.57
2023-05-23,12.61
2023-05-24,13.11
2023-05-25,12.52
2023-05-26,11.9
2023-05-29,12.3
2023-05-30,12.01
2023-05-31,11.97
2023-06-01,11.6
2023-06-02,11.13
2023-06-05,11.14
2023-06-06,11.38
2023-06-07,11.44
2023-06-08,11.26
2023-06-09,11.12
2023-06-12,11.25
2023-06-13,11.11
2023-06-14,11.16
2023-06-15,11.08
2023-06-16,10.84
2023-06-19,11.23
2023-06-20,11.13
2023-06-21,11.29
2023-06-22,11.55
2023-06-23,11.24
2023-06-26,11.4
2023-06-27,10.78
2023-06-28,10.89
2023-06-30,10.8
2023-07-03,11.54
2023-07-04,11.7
2023-07-05,11.88
2023-07-06,11.84
2023-07-07,11.53
2023-07-10,11.46
2023-07-11,11.01
2023-07-12,10.94
2023-07-13,10.94
2023-07-14,10.68
2023-07-17,11.32
2023-07-18,11.71
2023-07-19,11.6
2023-07-20,11.79
2023-07-21,11.49
2023-07-24,11.65
2023-07-25,10.24
2023-07-26,10.46
2023-07-27,10.51
2023-07-28,10.14
2023-07-31,10.41
2023-08-01,10.28
2023-08-02,11.28
2023-08-03,11.19
2023-08-04,10.57
2023-08-07,11.1
2023-08-08,11.33
2023-08-09,11.14
2023-08-10,11.4
2023-08-11,11.52
2023-08-14,12.0
2023-08-16,12.13
2023-08-17,12.24
2023-08-18,12.14
2023-08-21,11.96
2023-08-22,11.75
2023-08-23,11.73
2023-08-24,11.7
2023-08-25,12.08
2023-08-28,12.4
2023-08-29,12.23
2023-08-30,11.8
2023-08-31,12.06
2023-09-01,11.37
2023-09-04,10.96
2023-09-05,10.82
2023-09-06,10.68
2023-09-07,10.87
2023-09-08,10.78
2023-09-11,11.35
2023-09-12,11.69
2023-09-13,11.83
2023-09-14,11.32
2023-09-15,10.9
2023-09-18,10.84
2023-09-20,11.13
2023-09-21,10.82
2023-09-22,10.66
2023-09-25,10.9
2023-09-26,11.19
2023-09-27,11.59
2023-09-28,12.82
2023-09-29,11.45
2023-10-03,11.79
2023-10-04,11.66
2023-10-05,10.94
2023-10-06,10.3
2023-10-09,11.4
2023-10-10,11.27
2023-10-11,10.99
2023-10-12,10.62
2023-10-13,10.62
2023-10-16,11.07
2023-10-17,10.7
2023-10-18,10.97
2023-10-19,10.9
2023-10-20,10.82
2023-10-23,10.91
2023-10-25,11.31
2023-10-26,11.73
2023-10-27,10.91
2023-10-30,11.49
2023-10-31,11.83
2023-11-01,12.05
2023-11-02,11.08
2023-11-03,10.88
2023-11-06,11.11
2023-11-07,11.19
2023-11-08,11.04
2023-11-09,10.98
2023-11-10,11.11
2023-11-13,11.19
2023-11-15,11.14
2023-11-16,11.65
2023-11-17,11.83
2023-11-20,12.15
2023-11-21,12.23
2023-11-22,11.87
2023-11-23,11.32
2023-11-24,11.33
2023-11-28,12.18
2023-11-29,12.71
2023-11-30,12.69
2023-12-01,12.38
2023-12-04,12.99
2023-12-05,13.46
2023-12-06,13.74
2023-12-07,12.67
2023-12-08,12.47
2023-12-11,12.76
2023-12-12,12.71
2023-12-13,12.07
2023-12-14,12.32
2023-12-15,13.13
2023-12-18,13.9
2023-12-19,13.87
2023-12-20,14.45
2023-12-21,13.76
2023-12-22,13.71
2023-12-26,14.68
2023-12-27,15.56
2023-12-28,15.14
2023-12-29,14.5
2024-01-01,14.68
2024-01-02,14.58
2024-01-03,14.1
2024-01-04,13.33
2024-01-05,12.63
2024-01-08,13.46
2024-01-09,13.26
2024-01-10,12.97
2024-01-11,12.77
2024-01-12,13.1
2024-01-15,13.79
2024-01-16,13.57
2024-01-17,15.08
2024-01-18,14.07
2024-01-19,13.88
2024-01-23,14.85
2024-01-24,14.38
2024-01-25,13.87
2024-01-29,15.68
2024-01-30,16.1
2024-01-31,16.05
2024-02-01,14.46
2024-02-02,14.7
2024-02-05,15.62
2024-02-06,15.79
2024-02-07,15.51
2024-02-08,15.83
2024-02-09,15.45
2024-02-12,16.06
2024-02-13,15.81
2024-02-14,15.44
2024-02-15,15.23
2024-02-16,15.22
2024-02-19,16.02
2024-02-20,16.07
2024-02-21,15.93
2024-02-22,15.2
2024-02-23,14.97
2024-02-26,15.6
2024-02-27,15.73
2024-02-28,16.33
2024-02-29,15.57
2024-03-01,15.24
2024-03-04,14.92
2024-03-05,14.38
2024-03-06,14.3
2024-03-07,13.61
2024-03-11,14.0
2024-03-12,13.64
2024-03-13,14.43
2024-03-14,13.62
2024-03-15,13.69
2024-03-18,13.9
2024-03-19,14.11
2024-03-20,13.47
2024-03-21,12.51
2024-03-22,12.22
2024-03-26,12.82
2024-03-27,12.7
2024-03-28,12.83
2024-04-01,12.08
2024-04-02,11.65
2024-04-03,11.37
2024-04-04,11.22
2024-04-05,11.34
2024-04-08,11.61
2024-04-09,11.36
2024-04-10,11.11
2024-04-12,11.53
2024-04-15,12.47
2024-04-16,12.62
2024-04-18,13.04
2024-04-19,13.46
2024-04-22,12.7
2024-04-23,10.2
2024-04-24,10.28
2024-04-25,10.73
2024-04-26,10.93
2024-04-29,12.24
2024-04-30,12.87
2024-05-02,13.45
2024-05-03,14.62
2024-05-06,16.6
2024-05-07,17.01
2024-05-08,17.08
2024-05-09,18.2
2024-05-10,18.47
2024-05-13,20.6
2024-05-14,20.2
2024-05-15,20.27
2024-05-16,20.0
2024-05-17,19.8
2024-05-21,21.81
2024-05-22,21.47
2024-05-23,21.38
2024-05-24,21.71
2024-05-27,23.19
2024-05-28,24.2
2024-05-29,24.18
2024-05-30,24.18
2024-05-31,24.6
2024-06-03,20.94
2024-06-04,26.75
2024-06-05,18.89
2024-06-06,16.8
2024-06-07,16.88
2024-06-10,16.4
2024-06-11,14.77
2024-06-12,14.39
2024-06-13,13.49
2024-06-14,12.82
2024-06-18,12.97
2024-06-19,13.71
2024-06-20,13.35
2024-06-21,13.18
2024-06-24,14.06
2024-06-25,14.31
2024-06-26,14.05
2024-06-27,14.15
2024-06-28,13.8
2024-07-01,13.83
2024-07-02,13.64
2024-07-03,13.21
2024-07-04,12.86
2024-07-05,12.7
2024-07-08,13.6
2024-07-09,14.28
2024-07-10,14.43
2024-07-11,14.0
2024-07-12,13.73
2024-07-15,14.19
2024-07-16,14.22
2024-07-18,14.51
2024-07-19,14.83
2024-07-22,15.44
2024-07-23,12.75
2024-07-24,11.76
2024-07-25,12.62
2024-07-26,12.25
2024-07-29,12.95
2024-07-30,12.88
2024-07-31,13.25
2024-08-01,12.93
2024-08-02,14.32
2024-08-05,20.37
2024-08-06,18.74
2024-08-07,16.17
2024-08-08,16.6
2024-08-09,15.34
2024-08-12,15.87
2024-08-13,16.17
2024-08-14,15.44
2024-08-16,14.4
2024-08-19,14.32
2024-08-20,13.82
2024-08-21,13.33
2024-08-22,13.0
2024-08-23,13.55
2024-08-26,13.8
2024-08-27,13.63
2024-08-28,13.95
2024-08-29,13.79
2024-08-30,13.39
2024-09-02,14.06
2024-09-03,13.84
2024-09-04,14.38
2024-09-05,14.21
2024-09-06,15.22
2024-09-09,14.24
2024-09-10,13.36
2024-09-11,13.63
2024-09-12,13.18
2024-09-13,12.55
2024-09-16,12.46
2024-09-17,12.59
2024-09-18,13.37
2024-09-19,12.47
2024-09-20,12.79
2024-09-23,13.79
2024-09-24,13.39
2024-09-25,12.74
2024-09-26,12.0
2024-09-27,11.96
2024-09-30,12.79
2024-10-01,11.99
2024-10-03,13.17
2024-10-04,14.13
2024-10-07,15.08
2024-10-08,14.59
2024-10-09,14.12
2024-10-10,13.5
2024-10-11,13.22
2024-10-14,13.0
2024-10-15,13.0
2024-10-16,13.05
2024-10-17,13.39
2024-10-18,13.04
2024-10-21,13.76
2024-10-22,14.4
2024-10-23,14.62
2024-10-24,13.97
2024-10-25,14.63
2024-10-28,14.29
2024-10-29,14.52
2024-10-30,15.51
2024-10-31,15.55
2024-11-01,15.9
2024-11-04,16.69
2024-11-05,16.12
2024-11-06,14.87
2024-11-07,14.94
2024-11-08,14.47
2024-11-11,14.27
2024-11-12,14.59
2024-11-13,15.44
2024-11-14,14.78
2024-11-18,15.17
2024-11-19,15.66
2024-11-21,15.99
2024-11-22,16.1
2024-11-25,15.3
2024-11-26,15.31
2024-11-27,14.63
2024-11-28,15.21
2024-11-29,14.43
2024-12-02,14.7
2024-12-03,14.37
2024-12-04,14.45
2024-12-05,14.53
2024-12-06,14.14
2024-12-09,14.11
2024-12-10,13.78
2024-12-11,13.27
2024-12-12,13.19
2024-12-13,13.05
2024-12-16,14.02
2024-12-17,14.49
2024-12-18,14.37
2024-12-19,14.51
2024-12-20,15.07
2024-12-23,13.52
2024-12-24,13.18
2024-12-26,14.04
2024-12-27,13.24
2024-12-30,13.97
2024-12-31,14.45
2025-01-01,14.51
2025-01-02,13.74
2025-01-03,13.54
2025-01-06,15.65
2025-01-07,14.66
2025-01-08,14.47
2025-01-09,14.66
2025-01-10,14.92
2025-01-13,16.0
2025-01-14,15.47
2025-01-15,15.26
2025-01-16,15.47
2025-01-17,15.75
2025-01-20,16.42
2025-01-21,17.06
2025-01-22,16.77
2025-01-23,16.7
2025-01-24,16.75
2025-01-27,18.13
2025-01-28,18.2
2025-01-29,18.64
2025-01-30,17.39
2025-01-31,16.25
2025-02-03,14.35
2025-02-04,14.02
2025-02-05,14.08
2025-02-06,14.18
2025-02-07,13.69
2025-02-10,14.45
2025-02-11,14.87
2025-02-12,14.9
2025-02-13,14.96
2025-02-14,15.02
2025-02-17,15.72
2025-02-18,15.67
2025-02-19,15.42
2025-02-20,14.68
2025-02-21,14.53
2025-02-24,14.44
2025-02-25,13.72
2025-02-27,13.31
2025-02-28,13.91
2025-03-03,13.76
2025-03-04,13.83
2025-03-05,13.67
2025-03-06,13.73
2025-03-07,13.47
2025-03-10,13.99
2025-03-11,14.07
2025-03-12,13.69
2025-03-13,13.28
2025-03-17,13.42
2025-03-18,13.21
2025-03-19,13.3
2025-03-20,12.6
2025-03-21,12.58
2025-03-24,13.7
2025-03-25,13.64
2025-03-26,13.47
2025-03-27,13.3
2025-03-28,12.72
2025-04-01,13.78
2025-04-02,13.72
2025-04-03,13.6
2025-04-04,13.76
2025-04-07,22.79
2025-04-08,20.44
2025-04-09,21.43
2025-04-11,20.11
2025-04-15,16.13
