symbol,cap_tier,cap_source,adv_cr,dlv_adv_cr,dlv_cover
AARTECH,BROAD,not_in_nse_index,0.3,0.0,0.0
AARTI-RE,BROAD,not_in_nse_index,0.0,0.0,0.0
AARTIDRUGS,BROAD,not_in_nse_index,8.0,3.63,1.0
AARTIPHARM,BROAD,not_in_nse_index,84.9,22.94,1.0
AARTISURF,BROAD,not_in_nse_index,3.0,0.86,0.36
AARVEEDEN,BROAD,not_in_nse_index,0.0,0.0,0.0
AARVI,BROAD,not_in_nse_index,0.4,0.22,1.0
AASTHA,BROAD,not_in_nse_index,19.6,4.42,1.0
ABAN,BROAD,not_in_nse_index,0.1,0.0,0.0
ABANSENT,BROAD,not_in_nse_index,0.0,0.01,0.73
ABCOTS,BROAD,not_in_nse_index,0.3,0.19,1.0
ABGSEC,BROAD,not_in_nse_index,0.0,0.01,0.98
ABIN-RE1,BROAD,not_in_nse_index,0.0,0.0,0.0
ABINFRA,BROAD,not_in_nse_index,6.3,0.99,0.47
ABMINTLLTD,BROAD,not_in_nse_index,0.0,0.01,0.38
